ScenarioFamily,Scenario,Year,CO2eq
BASE,NDC_BASE-08-RG,2019,490965.0136053197
BASE,NDC_BASE-08-RG,2020,440720.5494099979
BASE,NDC_BASE-08-RG,2021,458770.6070691863
BASE,NDC_BASE-08-RG,2022,425715.97818482347
BASE,NDC_BASE-08-RG,2023,448947.2388337707
BASE,NDC_BASE-08-RG,2024,439692.9134226275
BASE,NDC_BASE-08-RG,2025,420781.87310940353
BASE,NDC_BASE-08-RG,2026,407372.58289510256
BASE,NDC_BASE-08-RG,2027,389347.5526782609
BASE,NDC_BASE-08-RG,2028,364129.0224177973
BASE,NDC_BASE-08-RG,2029,345011.73708319303
BASE,NDC_BASE-08-RG,2030,334744.8614255403
BASE,NDC_BASE-08-RG,2031,309512.6062627246
BASE,NDC_BASE-08-RG,2032,291365.1663949058
BASE,NDC_BASE-08-RG,2033,261823.187605601
BASE,NDC_BASE-08-RG,2034,244310.78590678392
BASE,NDC_BASE-08-RG,2035,231273.1777927187
BASE,NDC_BASE-08-RG,2036,218905.35159565098
BASE,NDC_BASE-08-RG,2037,207226.69244835022
BASE,NDC_BASE-08-RG,2038,194278.3149281664
BASE,NDC_BASE-08-RG,2039,177893.9793393927
BASE,NDC_BASE-08-RG,2040,164423.85280222932
BASE,NDC_BASE-08-RG,2041,178742.08544546345
BASE,NDC_BASE-08-RG,2042,190428.95260049362
BASE,NDC_BASE-08-RG,2043,189074.55205787523
BASE,NDC_BASE-08-RG,2044,189254.16565704576
BASE,NDC_BASE-08-RG,2045,189919.8918565204
BASE,NDC_BASE-08-RG,2046,190521.37317330664
BASE,NDC_BASE-08-RG,2047,191173.4570021775
BASE,NDC_BASE-08-RG,2048,191528.28073724126
BASE,NDC_BASE-08-RG,2049,192034.80892269328
BASE,NDC_BASE-08-RG,2050,193319.7102401805
BASE,NDC_BASE-08-RG,2051,192715.5010459651
BASE,NDC_BASE-08-RG,2052,193019.13199825407
BASE,NDC_BASE-08-RG,2053,193560.48003211946
BASE,NDC_BASE-08-RG,2054,193975.27289059284
BASE,NDC_BASE-08-RG,2055,194370.3691501684
BASE,NDC_BASE-085-NZ-RG,2019,490248.29638367245
BASE,NDC_BASE-085-NZ-RG,2020,440006.5491243989
BASE,NDC_BASE-085-NZ-RG,2021,458052.89965332765
BASE,NDC_BASE-085-NZ-RG,2022,422553.6110135112
BASE,NDC_BASE-085-NZ-RG,2023,442845.7134907427
BASE,NDC_BASE-085-NZ-RG,2024,438235.02512955957
BASE,NDC_BASE-085-NZ-RG,2025,422110.5447660256
BASE,NDC_BASE-085-NZ-RG,2026,412685.04553635494
BASE,NDC_BASE-085-NZ-RG,2027,396065.27712580125
BASE,NDC_BASE-085-NZ-RG,2028,382831.6854785514
BASE,NDC_BASE-085-NZ-RG,2029,371519.75954400643
BASE,NDC_BASE-085-NZ-RG,2030,361386.21646728367
BASE,NDC_BASE-085-NZ-RG,2031,350609.94916974567
BASE,NDC_BASE-085-NZ-RG,2032,331346.5325838033
