ScenarioFamily,Scenario,Year,CO2eq
BASE,NDC_BASE-08-RG,2019,490965.0136053197
BASE,NDC_BASE-08-RG,2020,440720.5494099979
BASE,NDC_BASE-08-RG,2021,458770.6070691863
BASE,NDC_BASE-08-RG,2022,425715.97818482347
BASE,NDC_BASE-08-RG,2023,448947.2388337707
BASE,NDC_BASE-08-RG,2024,439692.9134226275
BASE,NDC_BASE-08-RG,2025,420781.87310940353
BASE,NDC_BASE-08-RG,2026,407372.58289510256
BASE,NDC_BASE-08-RG,2027,389347.5526782609
BASE,NDC_BASE-08-RG,2028,364129.0224177973
BASE,NDC_BASE-08-RG,2029,345011.73708319303
BASE,NDC_BASE-08-RG,2030,334744.8614255403
BASE,NDC_BASE-08-RG,2031,309512.6062627246
BASE,NDC_BASE-08-RG,2032,291365.1663949058
BASE,NDC_BASE-08-RG,2033,261823.187605601
BASE,NDC_BASE-08-RG,2034,244310.78590678392
BASE,NDC_BASE-08-RG,2035,231273.1777927187
BASE,NDC_BASE-08-RG,2036,218905.35159565098
BASE,NDC_BASE-08-RG,2037,207226.69244835022
BASE,NDC_BASE-08-RG,2038,194278.3149281664
BASE,NDC_BASE-08-RG,2039,177893.9793393927
BASE,NDC_BASE-08-RG,2040,164423.85280222932
BASE,NDC_BASE-08-RG,2041,178742.08544546345
BASE,NDC_BASE-08-RG,2042,190428.95260049362
BASE,NDC_BASE-08-RG,2043,189074.55205787523
BASE,NDC_BASE-08-RG,2044,189254.16565704576
BASE,NDC_BASE-08-RG,2045,189919.8918565204
BASE,NDC_BASE-08-RG,2046,190521.37317330664
BASE,NDC_BASE-08-RG,2047,191173.4570021775
BASE,NDC_BASE-08-RG,2048,191528.28073724126
BASE,NDC_BASE-08-RG,2049,192034.80892269328
BASE,NDC_BASE-08-RG,2050,193319.7102401805
BASE,NDC_BASE-08-RG,2051,192715.5010459651
BASE,NDC_BASE-08-RG,2052,193019.13199825407
BASE,NDC_BASE-08-RG,2053,193560.48003211946
BASE,NDC_BASE-08-RG,2054,193975.27289059284
BASE,NDC_BASE-08-RG,2055,194370.3691501684
BASE,NDC_BASE-RG,2019,490238.8380398604
BASE,NDC_BASE-RG,2020,439992.94971959805
BASE,NDC_BASE-RG,2021,458036.1614694369
BASE,NDC_BASE-RG,2022,422541.9903194078
BASE,NDC_BASE-RG,2023,442855.33280047966
BASE,NDC_BASE-RG,2024,438905.1829949927
BASE,NDC_BASE-RG,2025,422571.92505699745
BASE,NDC_BASE-RG,2026,415771.756875684
BASE,NDC_BASE-RG,2027,410250.45340174483
BASE,NDC_BASE-RG,2028,403728.90796571353
BASE,NDC_BASE-RG,2029,401098.52109210764
BASE,NDC_BASE-RG,2030,395191.2509308857
BASE,NDC_BASE-RG,2031,388315.5431788908
BASE,NDC_BASE-RG,2032,377266.8619216682
BASE,NDC_BASE-RG,2033,366124.08951768104
BASE,NDC_BASE-RG,2034,359769.4770422334
BASE,NDC_BASE-RG,2035,356089.90267859306
