Year,SectorGroup,CO2eq,SectorLabel
2024,All others,102109.94742147528,All others (-9286)
2024,Industry,38156.5268923338,Industry (5745)
2024,Power,188801.9991163008,Power (-57219)
2024,Refineries,51290.37046561647,Refineries (-12280)
2024,Transport,58546.33909926637,Transport (-9775)
2035,All others,92823.96288547224,All others (-9286)
2035,Industry,43901.060038910495,Industry (5745)
2035,Power,131583.16339388906,Power (-57219)
2035,Refineries,39010.77389472198,Refineries (-12280)
2035,Transport,48770.94246559928,Transport (-9775)
