Scenario,Year,CO2eq
NDC_BASE-08-RG,2019,490965.0136053197
NDC_BASE-08-RG,2020,440720.5494099979
NDC_BASE-08-RG,2021,458770.6070691863
NDC_BASE-08-RG,2022,425715.97818482347
NDC_BASE-08-RG,2023,448947.2388337707
NDC_BASE-08-RG,2024,439692.9134226275
NDC_BASE-08-RG,2025,420781.87310940353
NDC_BASE-08-RG,2026,407372.58289510256
NDC_BASE-08-RG,2027,389347.5526782609
NDC_BASE-08-RG,2028,364129.0224177973
NDC_BASE-08-RG,2029,345011.73708319303
NDC_BASE-08-RG,2030,334744.8614255403
NDC_BASE-08-RG,2031,309512.6062627246
NDC_BASE-08-RG,2032,291365.1663949058
NDC_BASE-08-RG,2033,261823.187605601
NDC_BASE-08-RG,2034,244310.78590678392
NDC_BASE-08-RG,2035,231273.1777927187
NDC_BASE-08-RG,2036,218905.35159565098
NDC_BASE-08-RG,2037,207226.69244835022
NDC_BASE-08-RG,2038,194278.3149281664
NDC_BASE-08-RG,2039,177893.9793393927
NDC_BASE-08-RG,2040,164423.85280222932
NDC_BASE-08-RG,2041,178742.08544546345
NDC_BASE-08-RG,2042,190428.95260049362
NDC_BASE-08-RG,2043,189074.55205787523
NDC_BASE-08-RG,2044,189254.16565704576
NDC_BASE-08-RG,2045,189919.8918565204
NDC_BASE-08-RG,2046,190521.37317330664
NDC_BASE-08-RG,2047,191173.4570021775
NDC_BASE-08-RG,2048,191528.28073724126
NDC_BASE-08-RG,2049,192034.80892269328
NDC_BASE-08-RG,2050,193319.7102401805
NDC_BASE-08-RG,2051,192715.5010459651
NDC_BASE-08-RG,2052,193019.13199825407
NDC_BASE-08-RG,2053,193560.48003211946
NDC_BASE-08-RG,2054,193975.27289059284
NDC_BASE-08-RG,2055,194370.3691501684
NDC_BASE-RG,2019,490238.8380398604
NDC_BASE-RG,2020,439992.94971959805
NDC_BASE-RG,2021,458036.1614694369
NDC_BASE-RG,2022,422541.9903194078
NDC_BASE-RG,2023,442855.33280047966
NDC_BASE-RG,2024,438905.1829949927
NDC_BASE-RG,2025,422571.92505699745
NDC_BASE-RG,2026,415771.756875684
NDC_BASE-RG,2027,410250.45340174483
NDC_BASE-RG,2028,403728.90796571353
NDC_BASE-RG,2029,401098.52109210764
NDC_BASE-RG,2030,395191.2509308857
NDC_BASE-RG,2031,388315.5431788908
NDC_BASE-RG,2032,377266.8619216682
NDC_BASE-RG,2033,366124.08951768104
NDC_BASE-RG,2034,359769.4770422334
NDC_BASE-RG,2035,356089.90267859306
NDC_BASE-RG,2036,351435.86090937804
NDC_BASE-RG,2037,347059.21303991927
NDC_BASE-RG,2038,342550.24875795667
NDC_BASE-RG,2039,337600.52590238233
NDC_BASE-RG,2040,326720.4419643003
NDC_BASE-RG,2041,338271.4253116408
NDC_BASE-RG,2042,344225.2504819235
NDC_BASE-RG,2043,333297.3658131268
NDC_BASE-RG,2044,325741.8631178946
NDC_BASE-RG,2045,327339.9089018189
NDC_BASE-RG,2046,323605.9259881016
NDC_BASE-RG,2047,310033.3925774983
NDC_BASE-RG,2048,294072.3453780732
NDC_BASE-RG,2049,284495.3188139661
NDC_BASE-RG,2050,278378.0684695512
NDC_BASE-RG,2051,276318.05825340113
NDC_BASE-RG,2052,277287.2920073609
NDC_BASE-RG,2053,277684.3438876117
NDC_BASE-RG,2054,278439.15127858653
NDC_BASE-RG,2055,279481.8347827249
